Scenario	[CycleTimeAll].SampleAverage		[CycleTimeAll].SampleStandardDeviation		[CycleTimeFollow-up].SampleAverage		[CycleTimeFollow-up].SampleStandardDeviation		[CycleTimeReturn].SampleAverage		[CycleTimeReturn].SampleStandardDeviation		[CycleTimeNew].SampleAverage		[CycleTimeNew].SampleStandardDeviation		[CycleTimeAll].EntityTimeAverage("Waiting for resources")/1[h]*60		[CycleTimeAll].EntityTimeStandardDeviation("Waiting for resources")/1[h]*60		[CycleTimeAll].EntityTimeAverage("Waiting Area")/1[h]*60		[CycleTimeAll].EntityTimeStandardDeviation("Waiting Area")/1[h]*60		[CycleTimeAll].EntityTimeAverage("Front-Desk Queue")/1[h]*60		[CycleTimeAll].EntityTimeStandardDeviation("Front-Desk Queue")/1[h]*60		[CycleTimeAll].EntityTimeAverage("Waiting for resources")/1[h]*60 + [CycleTimeAll].EntityTimeAverage("Waiting Area")/1[h]*60 +[CycleTimeAll].EntityTimeAverage("Front-Desk Queue")/1[h]*60		[CycleTimeAll].EntityTimeStandardDeviation("Waiting for resources")/1[h]*60 + [CycleTimeAll].EntityTimeStandardDeviation("Waiting Area")/1[h]*60 +[CycleTimeAll].EntityTimeStandardDeviation("Front-Desk Queue")/1[h]*60		[CycleTimeAll].EntityTimeAverage("Working") /1[h] * 60		[CycleTimeAll].EntityTimeStandardDeviation("Working") /1[h] * 60		[TotalQueueTime].SampleAverage		[TotalQueueTime].SampleStandardDeviation		[TotalQueueTimeFollow-up].SampleAverage		[TotalQueueTimeFollow-up].SampleStandardDeviation		[TotalQueueTimeReturning].SampleAverage		[TotalQueueTimeReturning].SampleStandardDeviation		[TotalQueueTimeNew].SampleAverage		[TotalQueueTimeNew].SampleStandardDeviation		[CycleTimeFollow-up].SampleAverage		[CycleTimeFollow-up].SampleStandardDeviation		[CycleTimeReturn].SampleAverage		[CycleTimeReturn].SampleStandardDeviation		[CycleTimeNew].SampleAverage		[CycleTimeNew].SampleStandardDeviation	
1	87.68569730817524	0.5853842606640722	32.475894776041294	0.3616639885268232	74.17655186931898	0.8026553626728382	27.859743613554567	0.5247409206266479	85.70370155231538	0.7059451340137424	29.084880584521517	0.43645948053597294	103.84836022918039	0.8930423875572754	31.716547741458967	0.5603028757072708	8.197966228811856	0.18519453229633762	10.524127046650674	0.19576225832559035	24.941049090079392	0.34522008238663954	23.08317068645622	0.29192358642094146	4.736256286238947	0.11419993712790853	11.15389107938514	0.2145177007104699	37.875271605130195	0.4813158010424346	44.761188812492016	0.4710947766474909	49.81042570304506	0.1916917956140539	19.691314632484364	0.18150134943116875	37.875271605130195	0.48131580104243454	25.877404292187407	0.3142776538774841	37.665552085335186	0.6612053617698238	24.548578768253826	0.46978889357432757	36.424001320038805	0.5625058679228689	24.729518278923457	0.3831679472825947	39.996357002781686	0.7497626097066613	26.522609381702292	0.48867329356403366	74.17655186931898	0.8026553626728382	27.859743613554567	0.5247409206266479	85.70370155231538	0.7059451340137424	29.084880584521517	0.43645948053597294	103.84836022918039	0.8930423875572754	31.716547741458967	0.5603028757072708
2	88.68034865565926	0.6002408944397702	32.341597763288405	0.3558896069837983	75.89489689911126	0.7988654561324426	28.78412832623517	0.5620742383204915	87.85650037999598	0.7625406062914477	29.44423247298638	0.45236608131965905	102.38664039907535	0.8493557368554779	31.47393673728737	0.5543866643511094	8.757994484276042	0.19286496091768943	10.806489512059994	0.19500252712817145	25.390443723611877	0.3521992500280828	23.570509619388208	0.29490156951549895	4.75634375919615	0.11476641713866373	11.141270182396292	0.21402963282495116	38.90478196708408	0.4967662656406089	45.51826931384453	0.4775714066918325	49.77556668857518	0.19214349354131924	19.732419409988392	0.18097927654976262	38.904781967084084	0.4967662656406088	26.21877806115171	0.3161441184991393	39.3917104121686	0.6576535241737953	25.736434108826394	0.49698264882576554	38.599833556122476	0.6344152415732262	25.258254505519922	0.42107898197921617	38.5901612569303	0.6997260227532742	25.909349087336334	0.4657800629331109	75.89489689911126	0.7988654561324426	28.78412832623517	0.5620742383204915	87.85650037999598	0.7625406062914477	29.44423247298638	0.45236608131965905	102.38664039907535	0.8493557368554779	31.47393673728737	0.5543866643511094
3	87.82978617681593	0.6009106355931662	31.866978851612597	0.35581206154447453	76.14422933109232	0.8507308097781794	28.75889194305333	0.581231524014737	87.09920633953173	0.7714876490621778	29.286289657289366	0.44019931827086123	100.36532767002984	0.8689444099513711	30.427452186472436	0.525587110444395	8.296540628443037	0.19022803441051636	10.567088957361841	0.19889873654787338	24.967033445442834	0.35635080652453305	23.226677726181876	0.30553807664189186	4.769524377447312	0.11458333212578253	11.144350929282513	0.2143504311294398	38.033098451333224	0.4994624839694671	44.938117612826254	0.4814680164758546	49.79668772548278	0.19337682041381501	19.73045678650851	0.1791496977580759	38.03309845133323	0.49946248396946685	25.89082431137486	0.32336259740061585	39.612602965254254	0.6969665381692894	25.791395733261176	0.5170080346132966	37.85037411599508	0.6163950485820555	25.036928743234533	0.40609267640322516	36.522777057102076	0.7218643551076349	24.666332123723826	0.4617258189696214	76.14422933109232	0.8507308097781794	28.75889194305333	0.581231524014737	87.09920633953173	0.7714876490621778	29.286289657289366	0.44019931827086123	100.36532767002984	0.8689444099513711	30.427452186472436	0.525587110444395
4	89.9353743377536	0.613960369723943	33.04237591503131	0.37642532017704017	74.93667023053763	0.8560933877815456	28.289883694699448	0.5616821829399835	94.18928738433998	0.8344121062087518	32.107101181345435	0.5054596482508976	98.82826089019018	0.778093980233454	30.89946884748825	0.521349819643406	8.260804424437978	0.1813044800411762	10.766659570492521	0.2040040658979706	27.10490962732501	0.3670712422869077	24.840362762806766	0.3219423162635603	4.752934492438386	0.11481253949284712	11.148045722052863	0.21447793800457904	40.11864854420135	0.5047301484353713	46.75506805535216	0.5132145243037689	49.81672579355225	0.19479124438482226	19.72658257995173	0.1823709248236958	40.11864854420135	0.5047301484353713	27.406143844040805	0.34980992540023764	38.4651913250498	0.6988840414686835	25.015426770551557	0.49117291770712695	44.85686974263415	0.7245949352900264	28.312616206164673	0.4827643042169542	35.02666353240437	0.6210086991093092	24.870052909614323	0.4366914551802816	74.93667023053763	0.8560933877815456	28.289883694699448	0.5616821829399835	94.18928738433998	0.8344121062087518	32.107101181345435	0.5054596482508976	98.82826089019018	0.778093980233454	30.89946884748825	0.521349819643406
5	87.6298096171865	0.5834081520557037	32.8058067945674	0.3804382357285563	74.2860063353556	0.8011111447079924	28.279404994431207	0.5528089337007706	84.27257933989891	0.6869595072318608	29.246963894225694	0.44849769427951097	105.47220478999562	0.9215454745401256	31.18428323576469	0.5676377215824226	8.236942439305375	0.18262911990806555	10.665142039326117	0.19497232417233054	24.81524697831993	0.3422342958452676	23.19202805167198	0.3026388948250047	4.774327732326163	0.11545839808567541	11.167112915709485	0.21429007406961914	37.826517149951464	0.47934626178601664	45.02428300670758	0.48530283567089805	49.80329246723508	0.19218865062599985	19.738589960211968	0.17924742714982364	37.82651714995146	0.47934626178601664	26.119081427811725	0.33417421618319165	37.83364117086296	0.6505957855168686	25.043041807327562	0.4829184356744821	34.89874113961737	0.5425025275230543	24.849948219184967	0.4089000131366822	41.66495324149291	0.8181935788712705	26.080935562879926	0.48340973914754104	74.2860063353556	0.8011111447079924	28.279404994431207	0.5528089337007706	84.27257933989891	0.6869595072318608	29.246963894225694	0.44849769427951097	105.47220478999562	0.9215454745401256	31.18428323576469	0.5676377215824226
